"Brand_Reg","Count(Model_No)"
"AIWA",38
"AKAI",34
"AOA",5
"ARK",1
"Altius",6
"Avel Innovations",3
"BAUHN",54
"BELGIQUE",3
"BLAUPUNKT",88
"Blaupunkt",12
"Brooklyn",1
"CAIXUN",3
"CHiQ",47
"COOCAA",7
"Caixun",8
"DECAMAX",1
"DGTEC",10
"Dynalink",1
"EKO",166
"EMETE",5
"ENGLAON",18
"FFALCON",29
"FPD",1
"FURRION",4
"Gorilla",2
"HISENSE",136
"HYUNDAI",11
"Hubbl",1
"Hubbl Glass",2
"ILUMA",2
"JVC",94
"KOGAN",71
"KONIC",16
"KONKA",26
"Kodak",5
"Kogan",85
"LG",641
"LOEWE",17
"LSP TV",1
"Linsar",42
"METZ",6
"MYVI",5
"Monster",4
"PHILIPS",86
"PRISM+",8
"Palsonic",1
"Panasonic",76
"Philips",3
"Polaroid",13
"Q.Bell",2
"QBELL",11
"RCA",1
"S VISION",1
"SAMSUNG",75
"SAMSUNG ELECTRONICS",279
"SHARP",10
"SKYWORTH",15
"SMARTTECH",3
"SMTV",3
"SONIQ",1
"SONY",75
"SVISION",6
"SYLVOX",17
"Samsung",91
"ShareTV",1
"Sharp",1
"Shenzhen Xinchaoda Technology Co., Ltd",4
"Signify",1
"Smarttech",2
"Sony",17
"Spark Electronics",7
"Sphere",5
"Stan Cash",1
"Sylvox",13
"TAVICE",1
"TCL",96
"TEAC",8
"TECO",10
"TELEFUNKEN",8
"TENET",1
"THOMSON",2
"TOSHIBA",50
"VDT",1
"VEON",6
"Veon",16
"WALTON",4
"WINTAL",1
"Yokohama",1
"ZEN TV",3
"coocaa",9
"digitech",6
"kogan",39
"yokohama",2
